,term_2_umls_synonyms,term_1_umls_name,is correct,pipeline,relation,term_2_umls_name,evidence_count,sentence,term_1_umls_synonyms
0,"363-364 edemas;[d]dropsy;[d]dropsy (context-dependent category);[d]dropsy (situation);[d]edema;[d]edema (context-dependent category);[d]edema (situation);[d]edema nos;[d]edema nos (context-dependent category);[d]edema nos (situation);[d]oedema;[d]oedema (situation);[d]oedema nos;[d]oedema nos (situation);dropsies;dropsy;dropsy, nos;edema;edema (diagnosis);edema (finding);edema (morphologic abnormality);edema (nos);edema (observable entity);edema (physical finding);edema - lesion;edema - symptom;edema interstitial;edema nos;edema nos (finding);edema, nos;edema, unspecified;edemas;edematous;hydrops;hydrops (morphologic abnormality);hydrops, nos;interstitial edema;interstitial oedema;oedema;oedema - lesion;oedema - symptom;oedema nos;oedema nos (finding);oedema, nos;oedema, unspecified;oedemas;oedematous;swelling due to excess fluid;swelling/edema;waterlogged;watery swelling",((amino(imino)methyl)(methyl)amino)acetic acid,0.0,chemdis,cause,363-364 edemas,1,Creatine kinase levels were markedly elevated at 15 809 U/L. MRI of the right thigh revealed intermuscular and intramuscular oedema.,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine"
1,arrhythmia,((amino(imino)methyl)(methyl)amino)acetic acid,1.0,chemdis,cause,arrhythmia,1,Previous anecdotal reports have linked creatine to the development of arrhythmia.,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine"
2,hypomagnesemia,((amino(imino)methyl)(methyl)amino)acetic acid,0.0,chemdis,cause,hypomagnesemia,1,"Laboratory tests detected hypomagnesemia, as well as elevated levels of creatine kinase and lactate dehydrogenase.","((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine"
3,rhabdomyolysis,((amino(imino)methyl)(methyl)amino)acetic acid,0.0,chemdis,cause,rhabdomyolysis,1,"Recently, it caused several cases of delayed rhabdomyolysis in humans and elevated serum creatine kinase (CK) activities in laboratory mice (Mus musculus) in a dose-response study.","((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine"
4,heart failure,(+)-aldosterone,0.0,chemdis,cause,heart failure,1,"Hyperkalemia is a potentially life-threatening condition that patients with heart failure or chronic kidney disease, especially those taking renin-angiotensin-aldosterone system inhibitors, are at high risk of developing.","(+)-aldosterone;(11β)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al;11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al;11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al;aldosterona;aldosterone;aldosterone (substance);aldosterone preparation;aldosterone preparation (product);aldosterone preparation (substance);aldosterone product;aldosterone-containing product;aldosteronum;pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-;product containing aldosterone;product containing aldosterone (medicinal product)"
9,necrosis,(-)-(r)-epinephrine,1.0,chemdis,cause,necrosis,1,"The myocardium showed patchy necrosis with or without calcification, Spontaneous mortality was maximum following acute adrenaline shock (25 %) while electric shock caused mortality in 17 percent animals.","(-)-(r)-epinephrine;(-)-3,4-dihydroxy-α-((methylamino)methyl)benzyl alcohol;(r)-(-)-adnephrine;(r)-(-)-adrenaline;(r)-(-)-epinephrine;(r)-(-)-epirenamine;1,2-benzenediol, 4-(1-hydroxy-2-(methylamino)ethyl)-, (r)-;4-(1-hydroxy-2-(methylamino)ethyl)-1,2-benzenediol;4-[(1r)-1-hydroxy-2-(methylamino)ethyl]-1,2-benzenediol;adrenal;adrenaline;adrenaline (product);adrenaline (substance);adrenaline - chemical;adrenaline - chemical (substance);adrenaline [card];adrenaline [cardiovascular use];adrenaline [cardiovascular use] (product);adrenaline [cardiovascular use] (substance);adrenaline [resp];adrenaline [resp] (product);adrenaline [resp] (substance);adrenaline preparation;adrenaline product;adrenaline product (product);adrenaline-containing product;adrénaline;epinefrin;epinefrina;epinephrin;epinephrine;epinephrine (medication);epinephrine (substance);epinephrine (substance) [ambiguous];epinephrine [cardiovascular use];epinephrine [cardiovascular use] (product);epinephrine [resp];epinephrine [resp] (product);epinephrine preparation;epinephrine preparation (product);epinephrine preparation (substance);epinephrine product;epinephrine-containing product;epinephrinum;product containing adrenaline;product containing epinephrine;product containing epinephrine (medicinal product);sympathomimetics epinephrine;sympathomimetics epinephrine (medication);therapeutic epinephrine"
10,"(neoplasms) or (cancers);(neoplasms) or (cancers) (disorder);[x]mal neo w'out specfctn/site;[x]malignant neoplasm without specification of site;[x]malignant neoplasm without specification of site (disorder);^cancer;ca;ca - cancer;ca - unspecified site;ca - unspecified site nos;ca - unspecified site nos (disorder);cancer (diagnosis);cancer (nos);cancer nos;cancer, nos;cancer, unspecified site;cancers;mal neo w'out specfctn/site;malig neop of unspec site;malig neop of unspec site nos;malignancies;malignancy nos;malignancy, unspecified site;malignant growth;malignant neoplasm (diagnosis);malignant neoplasm of unspecified site;malignant neoplasm of unspecified site (disorder);malignant neoplasm of unspecified site nos;malignant neoplasm of unspecified site nos (disorder);malignant neoplasm without specification of site;malignant neoplastic disease;malignant neoplastic disease (disorder);malignant tumor;malignant tumor (disorder);malignant tumoral disease;malignant tumors;malignant tumour;malignant tumour (disorder);malignant tumours;neoplasm malignant;neoplasm/cancer;neoplasms - malignant;neoplasms, malignant;neoplastic disease, malignant;tumor; malignant, unclassified;tumor; unclassified, malignant",cholesterol,1.0,chemdis,cause,(neoplasms) or (cancers),1,"Physical inactivity, low fruit and vegetable intake, high fast food consumption and high cholesterol are predominant causes of cardiovascular disease and some cancers.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
11,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",cholesterol,1.0,chemdis,cause,general cardiovascular disorders,5,"Familial hypercholesterolemia is a rare disorder characterized by high cholesterol levels and early cardiovascular disease.___Data from inter- and intrapopulation studies have clearly demonstrated that as total and LDL cholesterol levels increase, cardiovascular disease risk increases.___In fact, high-protein, low-carbohydrate diets may add additional risk to individuals with cardiovascular disease due to their high fat and cholesterol content combined with decreased intake of fruits, vegetables, whole grains, and other nutrients related to cardiovascular risk.___Now, in the high-saturated fat, low-fibre supermarket age, this may be a disadvantage and predisposes consumers to high serum cholesterol and increased risk of cardiovascular disease.___Physical inactivity, low fruit and vegetable intake, high fast food consumption and high cholesterol are predominant causes of cardiovascular disease and some cancers.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
12,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",cholesterol,1.0,chemdis,cause,3-10 heart diseases: general terms,1,"Obesity is a risk factor for multiple serious health problems in adults, including heart disease, hardening of the arteries, high cholesterol, high blood pressure, certain types of cancer, stroke, diabetes, muscle and bone disorders and gallbladder disease.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
13,"[x]inj bl vess unsp body reg;[x]injury of blood vessel(s) of unspecified body region;[x]injury of blood vessel(s) of unspecified body region (disorder);blood injuries vessel;blood vessel injuries;blood vessel injury;blood vessel injury nos;blood vessel; injury;d-40 injuries of the blood vessels;inj bl vess unsp body reg;injuries of the blood vessels;injuries, vascular;injuries, vascular system;injury blood vessel;injury of blood vessel;injury of blood vessel (diagnosis);injury of blood vessel (disorder);injury of blood vessel(s) of unspecified body region;injury of blood vessel, nos;injury to blood vessel nos;injury to blood vessel nos (disorder);injury to blood vessels;injury to blood vessels of unspecified site;injury, vascular;injury, vascular system;injury; blood vessel;system injuries, vascular;system injury, vascular;vascular injuries;vascular injury;vascular injury nos;vascular system injuries;vascular system injury;vessel injury",cholesterol,0.0,chemdis,cause,[x]inj bl vess unsp body reg,1,"Experimental induction of marked hyperlipemia and hypercholesterolemia by feeding a high fat egg yolk-rich diet (supplemented with cholesterol, choleate, and thiouracil), and use of viosterol to cause vascular injury, led to severe atherosclerosis, coronary occlusion, and myocardial infarction.","(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)"
