,relation,pipeline,term_1_umls_name,term_2_umls_name,term_1_umls_synonyms,term_2_umls_synonyms,sentence,evidence_count,is_correct,is_food_entity_correct
0,cause,chemdis,((amino(imino)methyl)(methyl)amino)acetic acid,363-364 edemas,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine","363-364 edemas;[d]dropsy;[d]dropsy (context-dependent category);[d]dropsy (situation);[d]edema;[d]edema (context-dependent category);[d]edema (situation);[d]edema nos;[d]edema nos (context-dependent category);[d]edema nos (situation);[d]oedema;[d]oedema (situation);[d]oedema nos;[d]oedema nos (situation);dropsies;dropsy;dropsy, nos;edema;edema (diagnosis);edema (finding);edema (morphologic abnormality);edema (nos);edema (observable entity);edema (physical finding);edema - lesion;edema - symptom;edema interstitial;edema nos;edema nos (finding);edema, nos;edema, unspecified;edemas;edematous;hydrops;hydrops (morphologic abnormality);hydrops, nos;interstitial edema;interstitial oedema;oedema;oedema - lesion;oedema - symptom;oedema nos;oedema nos (finding);oedema, nos;oedema, unspecified;oedemas;oedematous;swelling due to excess fluid;swelling/edema;waterlogged;watery swelling",Creatine kinase levels were markedly elevated at 15 809 U/L. MRI of the right thigh revealed intermuscular and intramuscular oedema.,1,,
1,cause,chemdis,((amino(imino)methyl)(methyl)amino)acetic acid,arrhythmia,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine",arrhythmia,Previous anecdotal reports have linked creatine to the development of arrhythmia.,1,,
2,cause,chemdis,((amino(imino)methyl)(methyl)amino)acetic acid,hypomagnesemia,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine",hypomagnesemia,"Laboratory tests detected hypomagnesemia, as well as elevated levels of creatine kinase and lactate dehydrogenase.",1,,
3,cause,chemdis,((amino(imino)methyl)(methyl)amino)acetic acid,rhabdomyolysis,"((amino(imino)methyl)(methyl)amino)acetic acid;(alpha-methylguanido)acetic acid;(n-methylcarbamimidamido)acetic acid;(α-methylguanido)acetic acid;alpha-methylguanidino acetic acid;creatin;creatine;creatine (substance);creatines;glycine, n-(aminoiminomethyl)-n-methyl-;kreatin;methylglycocyamine;n-(aminoiminomethyl)-n-methylglycine;n-amidinosarcosine;n-carbamimidoyl-n-methylglycine;n-methyl-n-guanylglycine",rhabdomyolysis,"Recently, it caused several cases of delayed rhabdomyolysis in humans and elevated serum creatine kinase (CK) activities in laboratory mice (Mus musculus) in a dose-response study.",1,,
4,cause,chemdis,(+)-aldosterone,heart failure,"(+)-aldosterone;(11β)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al;11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al;11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al;aldosterona;aldosterone;aldosterone (substance);aldosterone preparation;aldosterone preparation (product);aldosterone preparation (substance);aldosterone product;aldosterone-containing product;aldosteronum;pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-;product containing aldosterone;product containing aldosterone (medicinal product)",heart failure,"Hyperkalemia is a potentially life-threatening condition that patients with heart failure or chronic kidney disease, especially those taking renin-angiotensin-aldosterone system inhibitors, are at high risk of developing.",1,,
5,cause,chemdis,(+)-aldosterone,hyperkalemia,"(+)-aldosterone;(11β)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al;11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al;11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al;aldosterona;aldosterone;aldosterone (substance);aldosterone preparation;aldosterone preparation (product);aldosterone preparation (substance);aldosterone product;aldosterone-containing product;aldosteronum;pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-;product containing aldosterone;product containing aldosterone (medicinal product)",hyperkalemia,Treatment with renin angiotensin aldosterone system inhibitors exacerbates the risk of hyperkalemia in these patients.___AIIA may cause severe hyperkalemia inhibiting aldosterone activity.,2,,
6,cause,chemdis,(+)-aldosterone,hypertensive,"(+)-aldosterone;(11β)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al;11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al;11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al;aldosterona;aldosterone;aldosterone (substance);aldosterone preparation;aldosterone preparation (product);aldosterone preparation (substance);aldosterone product;aldosterone-containing product;aldosteronum;pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11beta)-;product containing aldosterone;product containing aldosterone (medicinal product)",hypertensive;hypertensive (finding);with high blood pressure,"Although GR(betageo/+) mice have 50% less functional GR, they have normal lipid and glucose homeostasis due to compensatory HPA axis activation but are hypertensive due to activation of the renin-angiotensin-aldosterone system (RAAS).",1,,
7,cause,chemdis,(+)-alpha-tocopheryl polyethylene glycol 1000 succinate,ra,"(+)-alpha-tocopheryl polyethylene glycol 1000 succinate;alpha-tocopheryl polyethylene glycol succinate;d-alpha tocopheryl polyethylene glycol 1000 succinate;d-alpha-tocopheryl polyethylene glycol 1000 succinate;mono-(2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-6-chromanyl) succinate polyethylene glycol monoester;poly(oxy-1,2-ethanediyl), alpha-(4-((3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2h-1-benzopyran-6-yl)oxy)-1,4-dioxobutyl-omega-hydroxy-;tocofersolan;tocofersolano;tocofersolanum;tocopherol polyethylene glycol succinate;tocophersolan;tocophersolan (vitamin e tpgs);tocopheryl poly(ethylene glycol) 1000 succinate;tpg-s;tpgs;vitamin e peg-1000-succinate;vitamin e-tpgs;vitamine e peg-1000-succinate",ra,"Paeoniae radix is a traditional Chinese medicinal herb for treating some diseases; important components are total paeony glycosides (TPGs), an approved drug by the State Food and Drug Administration (SFDA) for the therapy of rheumatoid arthritis (RA).",1,,
8,cause,chemdis,(+)-sertraline,serotonin syndrome,"(+)-sertraline;(1s,4s)-sertraline;(1s-cis)-1,2,3,4-tetrahydro-4-(3,4-dichlorophenyl)-n-methyl-1-naphthalenamine;1-naphthalenamine,1,2,3,4-tetrahydro-4-(3,4-dichlorophenyl)-n-methyl-, (1s-cis)-;cis-(+)-sertraline;product containing sertraline;product containing sertraline (medicinal product);sertralina;sertraline;sertraline (product);sertraline (substance);sertraline product;sertraline-containing product;sertralinum",serotonin syndrome;syndrome serotonin,"We present a case of serotonin syndrome, which was precipitated by this medicine in a patient who had been predisposed by long-term treatment with sertraline, a selective serotonin reuptake inhibitor.",1,,
9,cause,chemdis,"(+-)-1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-1-propanone",drug overdose,"(+-)-1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-1-propanone;1-propanone, 1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-;amfebutamon;amfebutamone;bupropion;bupropion (medication);bupropion (product);bupropion (substance);bupropion [dup] (substance);bupropion product;bupropion-containing product;product containing bupropion;product containing bupropion (medicinal product)","drug overdose;drug overdose (disorder);drug overdose, nos;drug overdoses;drugs--overdose;od - overdose of drug;overdose nos;overdose of drug;overdose, drug;overdose, nos;overdoses;overdoses, drug","Nonetheless, there is one documented report of ST after single-agent bupropion overdose and multiple reports describing polypharmacy overdoses where bupropion may have contributed to ST.",1,,
10,cause,chemdis,(+/-)-gossypol,effects toxics,"(+/-)-gossypol;(2,2'-binaphthalene)-8,8'-dicarboxaldehyde, 1,1',6,6',7,7'-hexahydroxy-3,3'-dimethyl-5,5'-bis(1-methylethyl)-;(2,2'-binaphthalene)-8,8'-dicarboxaldehyde, 1,1',6,6'7, 7'-hexahydroxy-5,5'-diisopropyl-3,3'-dimethyl-;1,1',6,6',7,7'-hexahydroxy-3,3'-dimethyl-5,5'-bis(1-methylethyl)[2,2'-binaphthalene]-8,8'-dicarboxaldehyde;1,1',6,6',7,7'-hexahydroxy-5,5'-diisopropyl-3-3'-dimethyl[2,2'-binaphthalene]-8,8'-dicarboxaldehyde;2,2'-bis(1,6,7-trihydroxy-4-methyl-5-isopropyl-8-aldehydonaphthalene);2,2'-bis[1,6,7-trihydroxy-4-methyl-5-isopropyl-8-aldehydonaphthalene;2,2'-bis[8-formyl-1,6,7-trihydroxy-5-isopropyl-3-methylnaphthalene];cottonseed meal toxin;gossypol;gossypol (racemic);gossypol (substance);pogosin",effects toxics;tox;toxic;toxic effect;toxic effect (disorder);toxic effect of;toxicities;toxicity;toxics,Many cases of gossypol toxicity have been misdiagnosed.,1,,
11,cause,chemdis,(-)-(r)-epinephrine,necrosis,"(-)-(r)-epinephrine;(-)-3,4-dihydroxy-α-((methylamino)methyl)benzyl alcohol;(r)-(-)-adnephrine;(r)-(-)-adrenaline;(r)-(-)-epinephrine;(r)-(-)-epirenamine;1,2-benzenediol, 4-(1-hydroxy-2-(methylamino)ethyl)-, (r)-;4-(1-hydroxy-2-(methylamino)ethyl)-1,2-benzenediol;4-[(1r)-1-hydroxy-2-(methylamino)ethyl]-1,2-benzenediol;adrenal;adrenaline;adrenaline (product);adrenaline (substance);adrenaline - chemical;adrenaline - chemical (substance);adrenaline [card];adrenaline [cardiovascular use];adrenaline [cardiovascular use] (product);adrenaline [cardiovascular use] (substance);adrenaline [resp];adrenaline [resp] (product);adrenaline [resp] (substance);adrenaline preparation;adrenaline product;adrenaline product (product);adrenaline-containing product;adrénaline;epinefrin;epinefrina;epinephrin;epinephrine;epinephrine (medication);epinephrine (substance);epinephrine (substance) [ambiguous];epinephrine [cardiovascular use];epinephrine [cardiovascular use] (product);epinephrine [resp];epinephrine [resp] (product);epinephrine preparation;epinephrine preparation (product);epinephrine preparation (substance);epinephrine product;epinephrine-containing product;epinephrinum;product containing adrenaline;product containing epinephrine;product containing epinephrine (medicinal product);sympathomimetics epinephrine;sympathomimetics epinephrine (medication);therapeutic epinephrine",necrosis,"The myocardium showed patchy necrosis with or without calcification, Spontaneous mortality was maximum following acute adrenaline shock (25 %) while electric shock caused mortality in 17 percent animals.",1,,
